district_name,Nitrogen ,Organic Carbon,Phosphorus,Potassium ,pH
Ariyalur,94,89,36,29,7.210306462
Coimbatore,97,87,95,5,8.735448803
Cuddalore,95,95,11,9,7.84270302
Dharmapuri,94,98,54,4,5.275001536
Dindigul,85,79,32,3,5.895636487
Erode,95,90,79,8,8.159896562
Kanchipuram,99,98,1,10,8.026896973
Kanniyakumari,91,74,26,26,7.817923953
Karur,97,78,45,4,5.000213771
Krishnagiri,98,93,61,17,8.881830712
Madurai,99,54,16,12,7.31895712
Nagapattinam,98,60,1,12,7.214861474
Namakkal,95,87,42,4,8.104828621
Perambalur,100,84,76,6,8.894013741
Pudukkottai,99,91,25,53,8.997400199
Ramanathapuram,96,85,33,6,8.587839892
Salem,98,94,69,4,8.627126265
Sivaganga,97,97,18,12,8.151669797
Thanjavur,98,57,5,34,6.016554121
The Nilgiris,81,39,26,24,6.005174124
Theni,96,86,60,3,6.36375719
Thiruvallur,98,90,3,21,8.500784925
Thiruvarur,95,73,2,3,6.667488653
Tiruchirappalli,94,98,46,2,6.852132957
Tirunelveli,97,92,14,7,8.181356859
Tiruppur,97,67,70,8,7.60489479
Tiruvannamalai,96,98,29,18,7.45742323
Tuticorin,94,63,70,8,5.28628964
Vellore,80,74,85,9,8.713903746
Villupuram,99,76,49,25,8.830060294
Virudhunagar,98,83,61,7,7.854998353
